Station	Layer	Longitude	Latitude	Synechococcus abundance (cell/mL)	Prochlorococcus abundance (cell/mL)	Picoeukaryote abundance (cell/mL)	Synechococcus average diameter (µm)	Prochlorococcus average diameter (µm)	Picoeukaryotes average diameter (µm)	Synechococcus average cell biovolume (µm3)	Prochlorococcus average cell biovolume (µm3)	Picoeukaryotes average cell biovolume (µm3)	Synechococcus total biovolume (µm3)	Prochlorococcus total biovolume (µm3)	Picoeukatyors total biovolume (µm3)
3	Surface	-10.4	36.6	13352	116901	1610	0.891	0.518	1.647	0.371	0.073	2.34	4953.41	8503.51	3766.61
4	Deep chlorophyll maximum	-8	36.2	5865	50519	6890	1.364	0.995	1.547	1.33	0.516	1.94	7798.18	26044.27	13366.32
4	Surface	-8	36.2	9872	44721	1222	0.883	0.523	1.568	0.361	0.075	2.019	3563.76	3355.64	2466.67
5	Deep chlorophyll maximum	-4.6	36	19446	62238	1234	0.986	0.667	1.717	0.501	0.155	2.651	9750.44	9652.68	3270.73
5	Surface	-4.6	36	23654	52433	1374	1.199	0.725	1.648	0.903	0.2	2.344	21360.54	10468.13	3220.25
6	Deep chlorophyll maximum	-3.9	36.4	1353	4867	1672	1.821	1.327	1.587	3.161	1.223	2.091	4276.45	5951.46	3496.79
6	Surface	-3.9	36.4	16323	0	22038	1.332		1.514	1.238	0	1.819	20200.78	0	40080.67
7	Deep chlorophyll maximum	-1.7	36.6	51939	104186	1859	0.934	0.819	1.351	0.427	0.288	1.292	22166.54	30006.09	2402.78
7	Surface	-1.7	36.6	20928	29658	813	0.879	0.642	1.647	0.356	0.138	2.341	7449.48	4099.56	1902.28
8	Deep chlorophyll maximum	3.9	38	22723	28835	1456	0.914	0.782	1.52	0.4	0.251	1.84	9089.62	7231.97	2678.36
8	Surface	3.9	38	32318	30214	1090	0.858	0.639	1.432	0.331	0.137	1.537	10699.11	4135.85	1675.62
9	Deep chlorophyll maximum	5.9	39	2855	16977	2882	1.576	0.946	1.585	2.05	0.443	2.084	5853.03	7523.14	6006.21
9	Surface	5.9	39	22651	16678	1231	0.912	0.618	1.773	0.397	0.123	2.92	8991.07	2058.86	3593.79
10	Deep chlorophyll maximum	2.8	40.7	12208	60916	1961	1.282	0.864	1.494	1.104	0.338	1.745	13479.59	20563.48	3422.3
10	Surface	2.8	40.7	17661	3205	1120	0.994	0.632	1.881	0.515	0.132	3.487	9088.69	424.06	3904.21
11	Surface	2.9	41.7	41557	24724	1722	0.895	0.606	1.798	0.376	0.116	3.045	15607.81	2876.48	5243.61
14	Surface	12.8	39.9	12927	13875	611	1.028	0.665	1.82	0.569	0.154	3.155	7361.38	2138.81	1928.61
16	Surface	15.4	37.6	21438	12382	986	0.997	0.849	1.649	0.519	0.321	2.35	11116.38	3973.53	2316.38
18	Surface	14.2	35.7	17908	21272	947	0.882	0.564	1.703	0.359	0.094	2.588	6426.41	1998.85	2449.42
20	Deep chlorophyll maximum	14.1	34.9	20362	9301	1263	0.958	0.664	1.745	0.46	0.153	2.781	9359.64	1422.75	3511.89
20	Surface	14.1	34.9	15927	29606	962	0.88	0.599	1.617	0.357	0.112	2.213	5679.27	3327.26	2128.29
22	Deep chlorophyll maximum	17.4	39.8	24282	10248	944	0.95	0.962	1.743	0.449	0.467	2.774	10894.33	4780.7	2619.08
22	Surface	17.4	39.8	61898	6400	2251	0.908	0.838	1.725	0.392	0.308	2.689	24291.47	1969.96	6051.86
23	Deep chlorophyll maximum	17.7	42.2	10448	19390	1090	0.987	0.777	1.747	0.504	0.246	2.789	5263.73	4760.87	3041.49
23	Surface	17.7	42.2	22666	11678	1083	1.072	0.726	1.749	0.665	0.208	2.802	14616.94	2339.59	3033.17
24	Surface	17.9	42.4	21694	10917	1371	0.972	0.616	1.833	0.48	0.122	3.224	10415.41	1332.85	4419.49
25	Surface	19.4	39.4	25578	8422	1123	0.946	0.62	1.752	0.443	0.125	2.817	11330.27	1050.18	3161.54
26	Surface	20.2	38.4	23840	7192	1432	0.948	0.607	1.783	0.446	0.117	2.97	10642.92	842.62	4254.53
30	Deep chlorophyll maximum	32.9	33.9	10186	37848	669	0.949	0.687	1.741	0.448	0.17	2.764	4564.57	6424.46	1850.26
30	Surface	32.9	33.9	28804	7614	1225	0.991	0.702	1.747	0.51	0.181	2.789	14699.11	1378.06	3416.59
31	Surface	34.8	27.1	6272	202724	1078	0.85	0.407	1.419	0.322	0.035	1.496	2017.99	7148.05	1612.67
32	Deep chlorophyll maximum	37.2	23.4	1046	30778	1945	1.574	1.082	1.313	2.043	0.664	1.184	2137.91	20434.64	2303.35
32	Surface	37.2	23.4	6657	193860	1230	0.835	0.396	1.445	0.304	0.033	1.581	2026.96	6303.94	1945.21
33	Surface	38.1	21.9	146576	78400	4848	0.918	0.561	1.354	0.405	0.093	1.301	59292.21	7257.81	6305.47
34	Deep chlorophyll maximum	39.8	18.3	133	18186	459		1.146	1.48		0.787	1.699	0	14320.63	778.88
34	Surface	39.8	18.3	69499	39031	5701	0.938	0.638	1.375	0.433	0.136	1.361	30068.22	5310.88	7760.31
36	Surface	62.5	21.5	186970	19134	4110	0.851	0.594	1.548	0.323	0.11	1.943	60370.68	2104.07	7985.84
38	Deep chlorophyll maximum	64.4	18.8	137342	177764	10525	0.811	0.599	1.417	0.279	0.113	1.491	38362.62	20016.71	15689.29
38	Surface	64.4	18.8	96154	298148	8697	0.802	0.512	1.394	0.271	0.073	1.417	25965.37	20995.73	12326.86
39	Deep chlorophyll maximum	66.3	18.7	75795	224418	6376	0.637		1.477	0.136		1.688	10280.83	0	10761.25
39	Surface	66.3	18.7	146758	125121	5440	0.691	0.528	1.411	0.18	0.077	1.493	25377.82	9627.4	7997.87
41	Deep chlorophyll maximum	69.9	14.6	3809	119176	4900	1.577	0.854	1.337	2.052	0.326	1.252	7816.75	38879.98	6133.98
41	Surface	69.9	14.6	13703	245757	888	1.434	0.401	1.554	1.545	0.034	1.964	21176.31	8320.65	1744.64
42	Deep chlorophyll maximum	73.9	6		32880	1175		1.109	1.498		0.714	1.761	0	23460.11	2069.62
42	Surface	73.9	6	3969	154344	839	1.364	0.399	1.523	1.33	0.033	1.849	5279.23	5147.21	1550.86
43	Surface	73.5	4.7	82993	151550	3308	1.055	0.636	1.684	0.614	0.135	2.499	50981.33	20459.46	8267.43
44	Surface	71.5	2.8	3289	166400	490	1.521	0.409	1.634	1.843	0.036	2.284	6062.29	5968.39	1118.34
45	Surface	71.4	1.4	5651	293032	942	1.63	0.423	1.52	2.267	0.04	1.84	12810.2	11645.61	1732.27
46	Surface	73.2	-0.6	178299	157827	11203	0.913	0.544	1.272	0.398	0.084	1.079	71034.01	13310.77	12086.19
47	Surface	72.1	-2.1	1398	152638	677	1.965	0.415	1.576	3.97	0.037	2.049	5548.67	5717.31	1387.58
48	Surface	66.3	-9.4	497	119104	498	2.061	0.437	1.661	4.581	0.044	2.398	2277.28	5202.04	1193.8
49	Surface	59.4	-17	64623	100475	2596	1.095	0.951	1.533	0.688	0.451	1.886	44433.91	45269.67	4897.58
50	Surface	56.8	-21.4	892	155888	540	1.916	0.398	1.439	3.683	0.033	1.561	3284.87	5129.07	842.98
51	Deep chlorophyll maximum	54.3	-21.5	599	113258	1710	1.859	0.832	1.411	3.366	0.301	1.472	2016.61	34109.3	2517.75
51	Surface	54.3	-21.5	1336	221147	653	0.86	0.359	1.407	0.333	0.024	1.46	444.73	5368.9	953.92
52	Deep chlorophyll maximum	54	-16.9	5781	146204	4030	1.332	0.838	1.372	1.238	0.308	1.352	7156.76	44992.35	5449.06
52	Surface	54	-16.9	12164	198835	3763	1.414	0.419	1.339	1.481	0.038	1.256	18011.03	7632.03	4726.12
53	Surface	46.9	-13	11986	225907	1253	0.845	0.562	1.654	0.316	0.093	2.368	3782.39	21041.87	2967.66
54	Surface			68685	82535	1920							0	0	0
56	Surface	43.3	-15.2	4097	181243	506	1.219	0.481	1.502	0.948	0.058	1.773	3883.73	10542.57	897.26
58	Deep chlorophyll maximum	42.3	-17.6	16862	211200	2864	1.129	0.702	1.463	0.754	0.181	1.641	12722.44	38283.62	4698.5
58	Surface	42.3	-17.6	31793	200425	2147	0.899	0.413	1.494	0.38	0.037	1.745	12078.2	7368.54	3746.56
62	Surface	40.3	-22.3	18860	118869	1538	1.124	0.429	1.411	0.743	0.041	1.47	14017.07	4910.42	2261.29
64	Deep chlorophyll maximum	37.7	-29.3	39515	135537	6242	0.923	0.652	1.349	0.412	0.145	1.285	16295.35	19683.97	8022.62
64	Surface	37.7	-29.3	56550	287500	5562	0.874	0.565	1.348	0.35	0.094	1.283	19772.17	27133.37	7134.64
65	Deep chlorophyll maximum	26.3	-35.2	32214	20140	4616	1.034	0.874	1.437	0.578	0.349	1.553	18623.31	7037.62	7166.32
65	Surface	26.3	-35.2	34402	22756	5197	1.09	0.793	1.386	0.678	0.261	1.395	23340.47	5933.24	7251.41
