Station	Layer	Size fraction (µm)	sample	lineage	reads_mapped	rpkm
34	Deep chlorophyll maximum	0.2-1.6	metagenome	Bacillariophyceae	1	2.62454194125392E-05
36	Deep chlorophyll maximum	0.2-1.6	metagenome	Bacillariophyceae	1	3.27267621900206E-05
52	Deep chlorophyll maximum	0.2-1.6	metagenome	Bacillariophyceae	2	5.45500542448833E-05
9	Surface	0.2-1.6	metagenome	Bacillariophyceae	1	2.24335037603384E-05
38	Surface	0.2-1.6	metagenome	Bacillariophyceae	2	7.83179178532252E-05
58	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	3	6.53423961538994E-05
64	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	2	4.98497515924866E-05
65	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	7	0.000153495249428
110	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	4	9.84543684107487E-05
133	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	5	0.000147327556095
142	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	8	0.000232265973755
150	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	4	0.000113322232135
155	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	10	0.000241175179704
158	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	39	0.000528274845985
168	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	7	0.000184273525469
173	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	12	0.000271965879849
188	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	4	9.70192965071731E-05
189	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	20	0.000417577405193
194	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	6	9.47492979250013E-05
201	Deep chlorophyll maximum	0.2-3	metagenome	Bacillariophyceae	19	0.000402921160729
57	Surface	0.2-3	metagenome	Bacillariophyceae	9	0.000231841622404
62	Surface	0.2-3	metagenome	Bacillariophyceae	4	0.000139986276393
64	Surface	0.2-3	metagenome	Bacillariophyceae	6	7.00996747793576E-05
66	Surface	0.2-3	metagenome	Bacillariophyceae	2	6.25328356159123E-05
67	Surface	0.2-3	metagenome	Bacillariophyceae	13	0.00046019435859
68	Surface	0.2-3	metagenome	Bacillariophyceae	7	0.000231212365019
78	Surface	0.2-3	metagenome	Bacillariophyceae	7	0.000166210910225
84	Surface	0.2-3	metagenome	Bacillariophyceae	2	2.57458201433469E-05
85	Surface	0.2-3	metagenome	Bacillariophyceae	1	2.73456554589452E-05
