run_accession	sample_title
ERR1700892	TARA_20100322T1313Z_040_EVENT_CAST_B6_Z_(105 m)_PROT_NUC-RNA(100L)_W3->_TARA_N000000067
ERR1700896	TARA_20091112T1409Z_020_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_A100000761
ERR1700901	TARA_20110312T1937Z_093_Combined-EVENTS_CAST_MB_D_(35 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000001115
ERR1700905	TARA_20110403T2150Z_098_Combined-EVENTS_CAST_MB_D_(188 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000001580
ERR1700906	TARA_20100315T0531Z_038_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000000039
ERR1700912	TARA_20100330T1056Z_041_EVENT_PUMP_P_D_(60 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000074
ERR1726526	TARA_20100318T1041Z_039_EVENT_NET_N1+N2_D_(25 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000014
ERR1726527	TARA_20110415T1938Z_100_EVENT_PUMP_P_D_(50 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001606
ERR1726529	TARA_20120109T1926Z_142_EVENT_NET_N1+N2_D_(125 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000003100
ERR1726530	TARA_20101202T1814Z_081_EVENT_NET_N1_D_(35 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000001430
ERR1726533	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000002039
ERR1726535	TARA_20110614T1645Z_112_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000001874
ERR1726543	TARA_20110321T1644Z_095_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000001267
ERR1726551	TARA_20120305T1610Z_150_EVENT_NET_N1_D_(40 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000002147
ERR1726558	TARA_20110324T1427Z_096_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001260
ERR1726564	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002036
ERR1726565	TARA_20101016T1554Z_076_EVENT_NET_N1+N2_D_(150 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000884
ERR1726566	TARA_20110504T1449Z_106_EVENT_NET_N1+N2_D_(50 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000001704
ERR1726570	TARA_20111005T0101Z_132_Combined-EVENTS_CAST_MB_D_(115 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002422
ERR1726572	TARA_20101216T1158Z_083_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000001372
ERR1726574	TARA_20091124T0945Z_026_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_S400007204
ERR1726576	TARA_20111130T1620Z_136_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002959
ERR1726577	TARA_20110905T0007Z_128_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002297
ERR1726578	TARA_20100120T1415Z_034_EVENT_NET_N1+N2_D_(60 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000320
ERR1726582	TARA_20100322T0930Z_040_EVENT_CAST_B6_Z_(50 m)_PROT_NUC-RNA(100L)_W3->_TARA_N000000065
ERR1726583	TARA_20111202T2302Z_137_EVENT_NET_N1_D_(40 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000002938
ERR1726584	TARA_20110531T2030Z_111_Combined-EVENTS_CAST_MB_D_(90 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001814
ERR1726586	TARA_20110619T2203Z_113_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000001902
ERR1726591	TARA_20100322T0930Z_040_EVENT_CAST_B6_Z_(50 m)_PROT_NUC-RNA(100L)_W3->_TARA_N000000065
ERR1726593	TARA_20110327T1706Z_097_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000001538
ERR1726596	TARA_20120309T1745Z_151_Combined-EVENTS_CAST_MB_D_(80 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000002739
ERR1726597	TARA_20091004T0830Z_011_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_X000001288
ERR1726599	TARA_20100404T0304Z_042_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000089
ERR1726601	TARA_20110805T0113Z_124_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002041
ERR1726609	TARA_20110415T1938Z_100_EVENT_PUMP_P_D_(50 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000001606
ERR1726612	TARA_20090921T1600Z_006_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_X000000659
ERR1726613	TARA_20091116T1340Z_022_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000538
ERR1726615	TARA_20110619T2000Z_113_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001900
ERR1726617	TARA_20120116T2052Z_143_EVENT_NET_N1+N2_D_(40 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000003148
ERR1726618	TARA_20091123T1620Z_025_EVENT_NET_N1+N2_D_(50 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_E500000200
ERR1726626	TARA_20101016T1245Z_076_EVENT_NET_N1_S_(5 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000000863
ERR1726627	TARA_20110312T1900Z_093_EVENT_NET_N1+N2_D_(35 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000001123
ERR1726632	TARA_20110226T1440Z_092_EVENT_NET_N1_S_(5 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000001301
ERR1726636	TARA_20101129T1430Z_080_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001499
ERR1726641	TARA_20111024T0034Z_135_EVENT_NET_N1+N2_D_(30 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002195
ERR1726644	TARA_20100405T0957Z_043_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000295
ERR1726647	TARA_20110911T1824Z_129_EVENT_NET_N1+N2_D_(80 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000002320
ERR1726648	TARA_20101129T1809Z_080_EVENT_NET_N1+N2_D_(85 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001477
ERR1726649	TARA_20100707T0517Z_064_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000539
ERR1726653	TARA_20120324T1150Z_153_EVENT_NET_N1+N2_X_(25 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000002813
ERR1726655	TARA_20110416T0004Z_100_EVENT_NET_N1+N2_D_(50 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001618
