gene_id	length	mapped_counts	unmapped_counts	RPKM	RPKM_abund
BIMP01000001.1_cds_GCE64567.1_468__138-855	718	0	0	0.0	0.0
CK_Cya_NS01_02631_5.2_5.2B_1__93-810	718	0	0	0.0	0.0
CK_Cya_PCC6307_01884_5.2_5.2B_1__93-801	709	0	0	0.0	0.0
CK_Cya_PCC7001_00413_5.2_5.2B_1__93-801	709	0	0	0.0	0.0
CK_Pro_AS9601_02491_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_EQPAC1_01972_HLI_HLI_Lba__93-789	697	4	0	1719.7725256880271	0.0010606453333243506
CK_Pro_GP2_00399_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_HNLC1_01296_HLIV_HLIV_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_HNLC2_01269_HLIII_HLIII_Lba__51-747	697	0	0	0.0	0.0
CK_Pro_LG_01504_LLII_LLII_Hba__66-759	694	0	0	0.0	0.0
CK_Pro_MED4_00228_HLI_HLI_Lba__93-789	697	10	0	4299.431314220068	0.0026516133333108764
CK_Pro_MIT0601_00816_LLIII_LLIII_Hba__93-786	694	0	0	0.0	0.0
CK_Pro_MIT0602_00546_LLII_LLII_Hba__93-786	694	0	0	0.0	0.0
CK_Pro_MIT0603_00240_LLII_LLII_Hba__93-786	694	0	0	0.0	0.0
CK_Pro_MIT0604_00272_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT0701_01597_LLIV_LLIV_Hba__132-834	703	0	0	0.0	0.0
CK_Pro_MIT0702_01134_LLIV_LLIV_Hba__132-834	703	0	0	0.0	0.0
CK_Pro_MIT0703_01751_LLIV_LLIV_Hba__132-834	703	0	0	0.0	0.0
CK_Pro_MIT0801_00321_LLI_LLI_Hba__102-798	697	0	0	0.0	0.0
CK_Pro_MIT9107_01735_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9116_01799_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9123_00080_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9201_01767_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9202_00726_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9211_02501_LLIII_LLIII_Hba__96-783	688	0	0	0.0	0.0
CK_Pro_MIT9215_02501_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9301_02501_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9302_01935_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9303_23851_LLIV_LLIV_Hba__132-834	703	0	0	0.0	0.0
CK_Pro_MIT9311_00913_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9312_00230_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9313_01800_LLIV_LLIV_Hba__132-834	703	0	0	0.0	0.0
CK_Pro_MIT9314_00938_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9321_00742_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9322_00615_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9401_00482_HLII_HLII_Lba__93-789	697	0	0	0.0	0.0
CK_Pro_MIT9515_02601_HLI_HLI_Lba__93-789	697	2	0	859.8862628440136	0.0005303226666621753
CK_Pro_NATL1A_03081_LLI_LLI_Hba__102-798	697	0	0	0.0	0.0
CK_Pro_NATL2A_01597_LLI_LLI_Hba__102-798	697	1	0	429.9431314220068	0.00026516133333108764
CK_Pro_PAC1_01213_LLI_LLI_Hba__102-798	697	1	0	429.9431314220068	0.00026516133333108764
