sample_id,Station,gene_id,taxonomy,length,mapped_counts,unmapped_counts,RPKM,RPKM_abund,assigned_tax
ERR538173,23,000000046609__3-618,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,616,2,0,454.1548813474957,0.0002697777309137,Prochlorococcus
ERR538173,23,000000078475__c2935-2353,Eukaryota;Haptista;Haptophyta,583,1,0,239.93088071188453,0.0001425240842562,Haptophytes
ERR538173,23,000000096802__c941-221,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,721,16,0,3104.126567656669,0.0018439176947888,Synechococcus
ERR538173,23,000000136105__c1131-414,Eukaryota;Haptista;Haptophyta,718,1,0,194.81852848889787,0.0001157263803919,Haptophytes
ERR538173,23,000000202097__96-678,Eukaryota;Haptista;Haptophyta,583,1,0,239.93088071188453,0.0001425240842562,Haptophytes
ERR538173,23,000000237270__c2216-1526,Eukaryota;Viridiplantae;Chlorophyta,691,2,0,404.8616597830063,0.000240496501075,Chlorophytes
ERR538173,23,000000249424__1149-1869,Eukaryota;Haptista;Haptophyta,721,1,0,194.00791047854185,0.0001152448559243,Haptophytes
ERR538173,23,000000341181__c1129-439,Eukaryota;Haptista;Haptophyta,691,1,0,202.43082989150315,0.0001202482505375,Haptophytes
ERR538173,23,000000346616__3-294,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,292,1,0,479.0400803254407,0.0002845600723336,Synechococcus
ERR538173,23,000000399850__453-1020,Eukaryota;Haptista;Haptophyta,568,3,0,738.801250642757,0.0004388637735286,Haptophytes
ERR538173,23,000000426313__c1028-302,Eukaryota;Sar;Stramenopiles;Ochrophyta,727,1,0,192.4067447799569,0.0001142937291904,Other eukaryotic phytoplankton
ERR538173,23,000000458375__1602-1833,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,232,6,0,3617.578537630052,0.0021489191669333,Synechococcus
ERR538173,23,000000469012__1602-2325,Eukaryota;Haptista;Haptophyta,724,3,0,579.6120308910027,0.0003443019659727,Haptophytes
ERR538173,23,000000574425__897-1547,Eukaryota;Haptista;Haptophyta,651,2,0,429.7379522427916,0.0002552735518323,Haptophytes
ERR538173,23,000000677549__69-777,Eukaryota;Haptista;Haptophyta,709,6,0,1183.749253498127,0.0007031724213378,Haptophytes
ERR538173,23,000000687614__1497-2169,Eukaryota;Sar;Stramenopiles;Ochrophyta,673,1,0,207.8450274220337,0.0001234643998832,Other eukaryotic phytoplankton
